ID,ParkName,LocationName,ParkType,CAPACITY,Open,Close,CountyName,LONGITUDE,LATITUDE
1,Vali Konagi Caddesi 1,Sisli Vali Konagi Caddes,Yol Ustu,30,8:00:00 AM,7:00:00 PM,Sisli,28.98797494,41.04882336
2,Sakayik Sokak 1,Sisli Sakayik Soka,Yol Ustu,50,8:00:00 AM,7:00:00 PM,Sisli,28.99556561,41.0495233
3,Husrev Gerede Sokak 1,Sisli Husrev Gerede Caddes,Yol Ustu,50,8:00:00 AM,7:00:00 PM,Sisli,28.99497558,41.04838954
4,Sezai Selek Sokak 1,Seza-I Selek Caddes,Yol Ustu,50,8:00:00 AM,7:00:00 PM,Sisli,28.99597417,41.0533862
5,Macka Caddesi 1,Sisli Macka Caddes,Yol Ustu,40,8:00:00 AM,12:00:00 AM,Sisli,28.99295483,41.04662969
6,Macka Caddesi 6,Sisli Macka Caddes,Yol Ustu,50,8:00:00 AM,12:00:00 AM,Sisli,28.9944976,41.04782937
7,Taskisla Caddesi 3,Sisli Taskisla Caddes,Yol Ustu,0,9:00:00 AM,9:00:00 PM,Sisli,28.99130231,41.04793756
8,Vefa Bey Sokak 1,Vefabey Soka,Yol Ustu,37,8:00:00 AM,6:00:00 PM,Besiktas,29.0066024,41.06550572
9,Muselles Sokak 2,Muselles Soka,Yol Ustu,40,7:00:00 AM,5:00:00 PM,Sisli,29.01158813,41.06882973
10,Alemdag Caddesi 5,Alemdag Caddes,Yol Ustu,20,8:00:00 AM,7:00:00 PM,Umraniye,29.094108,41.02553124
11,Ihlamur Dere Caddesi 1,Ihlamur Dere Caddes,Yol Ustu,27,9:00:00 AM,7:00:00 PM,Besiktas,29.00345252,41.04380164
12,Ihlamur Dere Caddesi 6,Ihlamur Dere Caddes,Yol Ustu,27,9:00:00 AM,7:00:00 PM,Besiktas,29.00240296,41.0463833
13,Dereboyu Caddesi 2,Ortakoy Dereboyu Caddes,Yol Ustu,22,9:00:00 AM,6:00:00 PM,Besiktas,29.02380757,41.05257919
14,Alemdag Caddesi 21 (Test),Alemdag Caddes,Yol Ustu,500,8:00:00 AM,7:00:00 PM,Umraniye,29.09920116,41.02530986
15,Karakol Caddesi 1,Karakol Caddes,Yol Ustu,18,8:00:00 AM,7:00:00 PM,Besiktas,29.01640716,41.07540298
16,Gonca Esnaf Onu 1,Levent Esnaf On,Yol Ustu,23,8:00:00 AM,7:00:00 PM,Besiktas,29.01669586,41.07599431
17,Bosna Bulvari 4,Umraniye Bosna Bulvar,Yol Ustu,40,8:00:00 AM,7:00:00 PM,Umraniye,29.08447433,41.02493862
18,Hakimiyet-I Milliye Caddesi 2,Uskudar Hakimiyet-I Milliye Caddes,Yol Ustu,25,8:00:00 AM,7:00:00 PM,Uskudar,29.01603252,41.02254297
19,Persembe Pazari 2,Karakoy Persembe Pazar,Yol Ustu,32,8:00:00 AM,6:00:00 PM,Beyoglu,28.97027889,41.02412105
20,Poyraz Yol Ustu 6,Poyraz Yol Ust,Yol Ustu,36,8:00:00 AM,6:00:00 PM,Kadikoy,29.04050264,40.9920092
21,Atasehir Bulvari 5,Atasehir Bulvar,Yol Ustu,25,8:00:00 AM,6:00:00 PM,Atasehir,29.12531912,40.99284405
22,Kabatas Set Ustu 1,Kabatas Setust,Yol Ustu,60,8:00:00 AM,6:00:00 PM,Beyoglu,28.99394452,41.03618849
23,Ataturk Bulvari,Ataturk Bulvari ,Yol Ustu,50,7:30:00 AM,6:30:00 PM,Fatih,28.95351984,41.01226237
24,Rumeli Hisar Onu Acik Otoparki,Rumeli Hisar On,Acik Otopark,70,12:00:00 AM,11:59:00 PM,Sariyer,29.05671121,41.08545938
25,İstinye 3 ( Hastane Karsisi ),İstinye Caddes,Yol Ustu,25,8:00:00 AM,6:00:00 PM,Sariyer,29.05616025,41.11496361
26,Sariyer Deresi Sokak 1,Sariyer Deresi Soka,Yol Ustu,13,8:00:00 AM,6:00:00 PM,Sariyer,29.05703742,41.16885705
27,Kazim Ozalp Sokak 4,Kazim Ozalp Soka,Yol Ustu,40,9:00:00 AM,8:00:00 PM,Kadikoy,29.07491151,40.96118662
