ID,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,County_Name,Neighborhood_Name,LATITUDE,LONGITUDE
1,1,Akaryakit,13,Shell-Turcas Petrol,Arnavutkoy,Hastane,41.15816138,28.61356557
2,2,Akaryakit Lpg,10,Opet,Silivri,Buyuk Cavuslu,41.24933896,28.03778348
3,2,Akaryakit Lpg,12,Petrol Ofisi,Esenyurt,Saadetdere,41.00057571,28.69146283
4,2,Akaryakit Lpg,10,Opet,Pendik,Yenisehir,40.93530869,29.32867668
5,1,Akaryakit,27,Turkiye Petrol,Kucukcekmece,Istasyon,41.01450221,28.76814579
6,2,Akaryakit Lpg,25,Starpet,Uskudar,Selami Ali,41.02753436,29.02624217
7,1,Akaryakit,13,Shell-Turcas Petrol,Beykoz,Gumussuyu,41.13060422,29.09358583
8,2,Akaryakit Lpg,15,Total,Kadikoy,Acibadem,41.00306655,29.03626706
9,2,Akaryakit Lpg,9,LukOil,Zeytinburnu,Tozkoparan,41.02096585,28.90659425
10,1,Akaryakit,15,Total,Silivri,Mimar Sinan,41.0800035,28.20899049
11,2,Akaryakit Lpg,12,Petrol Ofisi,Pendik,Kaynarca,40.86945447,29.26901487
12,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Esenyurt,Ataturk,41.01967015,28.63169775
13,2,Akaryakit Lpg,15,Total,Umraniye,Inkilap,41.03100559,29.10747116
14,2,Akaryakit Lpg,12,Petrol Ofisi,Pendik,Seyhli,40.90436916,29.27867645
15,1,Akaryakit,13,Shell-Turcas Petrol,Besiktas,Gayrettepe,41.06142149,29.01104994
16,2,Akaryakit Lpg,5,BP,Kadikoy,Sahrayicedit,40.98152792,29.08135026
17,2,Akaryakit Lpg,12,Petrol Ofisi,Beyoglu,Kaptanpasa,41.04161852,28.96642489
18,2,Akaryakit Lpg,15,Total,Sultangazi,Cebeci,41.11363622,28.85721776
19,1,Akaryakit,12,Petrol Ofisi,Kartal,Yali,40.8967308,29.22263569
20,1,Akaryakit,15,Total,Beylikduzu,Marmara,40.98186429,28.68256861
21,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Bagcilar,Mahmutbey,41.05997752,28.83135469
22,2,Akaryakit Lpg,5,BP,Sisli,19 Mayis,41.05681212,28.99637357
23,1,Akaryakit,5,BP,Besiktas,Nisbetiye,41.07384915,29.01594593
24,2,Akaryakit Lpg,2,Alpet,Eyupsultan,Bogazkoy Istiklal,41.13673143,28.81707269
25,1,Akaryakit,15,Total,Beylikduzu,Yakuplu,41.00426897,28.68413878
26,2,Akaryakit Lpg,27,Turkiye Petrol,Arnavutkoy,Islambey,41.18944311,28.74268625
27,2,Akaryakit Lpg,10,Opet,Umraniye,Cemil Meric,41.0163878,29.14598187
28,2,Akaryakit Lpg,12,Petrol Ofisi,Silivri,Ortakoy,41.08342301,28.37078083
29,2,Akaryakit Lpg,5,BP,Esenyurt,Yesilkent,41.02523913,28.65928705
30,2,Akaryakit Lpg,9,LukOil,Gaziosmanpasa,Merkez,41.05809494,28.90624368
31,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Buyukcekmece,Mimar Sinan,41.0079701,28.53766986
32,2,Akaryakit Lpg,5,BP,Kucukcekmece,Halkali Merkez,41.02941408,28.79570732
33,2,Akaryakit Lpg,5,BP,Tuzla,Tepeoren,40.93586163,29.3611637
34,1,Akaryakit,13,Shell-Turcas Petrol,Kagithane,Telsizler,41.0751913,28.99990174
35,1,Akaryakit,5,BP,Sile,Ahmetli,41.16117111,29.59034112
36,1,Akaryakit,13,Shell-Turcas Petrol,Atasehir,Icerenkoy,40.96706594,29.10422482
37,1,Akaryakit,3,Aytemiz,Esenler,Havaalani,41.05465828,28.86387982
38,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Arnavutkoy,Hastane,41.15255923,28.61693973
39,2,Akaryakit Lpg,15,Total,Bahcelievler,Yenibosna Merkez,41.01178545,28.81783783
40,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Pendik,Yayalar,40.89918877,29.2686647
41,1,Akaryakit,12,Petrol Ofisi,Buyukcekmece,Fatih,41.02184205,28.58403678
42,2,Akaryakit Lpg,10,Opet,Esenler,Fevzi Cakmak,41.04909299,28.87684213
43,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Gungoren,Haznedar,41.00691653,28.87140247
44,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Kucukcekmece,Halkali Merkez,41.02885255,28.79068333
45,2,Akaryakit Lpg,15,Total,Kagithane,Sultan Selim,41.09433608,28.99299325
46,2,Akaryakit Lpg,10,Opet,Arnavutkoy,Yavuz Selim,41.20513127,28.72826561
47,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Basaksehir,Basak,41.0845534,28.8106902
48,1,Akaryakit,12,Petrol Ofisi,Maltepe,Altaycesme,40.92783851,29.13306917
49,1,Akaryakit,13,Shell-Turcas Petrol,Beylikduzu,Gurpinar,40.9959898,28.60619924
50,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Buyukcekmece,Ulus,41.0259119,28.55657737
51,1,Akaryakit,5,BP,Sancaktepe,Fatih,40.96950037,29.22021668
52,1,Akaryakit,12,Petrol Ofisi,Kadikoy,Fenerbahce,40.97485903,29.05216014
53,2,Akaryakit Lpg,12,Petrol Ofisi,Buyukcekmece,Kamiloba,41.04027366,28.42850663
54,2,Akaryakit Lpg,11,Pet-Line,Gaziosmanpasa,Karayollari,41.08698267,28.88928688
55,2,Akaryakit Lpg,27,Turkiye Petrol,Sultanbeyli,Turgut Reis,40.96388354,29.28443917
56,2,Akaryakit Lpg,5,BP,Gungoren,Abdurrahman Nafiz Gurman,41.00477714,28.89232007
